URL,Domain,Anchor
http://www.colonelby.com/home.htm,colonelby.com,
index.htm,index.htm,Home
policies.htm,policies.htm,Policies
http://10.3.31.176/,10.3.31.176,In-school Catalogue
databases.htm,databases.htm,Databases
essays.htm,essays.htm,Essay Skills
courses.htm,courses.htm,
courses.htm,courses.htm,Course Links
ebooks.htm,ebooks.htm,eBooks
http://www.colonelby.com/home.htm,colonelby.com,
http://atlas.nrcan.gc.ca/site/english/index.html,atlas.nrcan.gc.ca,The Atlas of Canada
http://www.lib.utexas.edu/maps/,lib.utexas.edu,Perry-Casta?eda Library Map Collection
http://www41.statcan.gc.ca/index-eng.htm,www41.statcan.gc.ca,Canada Year Book - from Statistics Canada
http://agora.qc.ca/,agora.qc.ca,L'Encyclop?die de L'Agora
http://go-ontario.grolier.com/,go-ontario.grolier.com,Grolier Online Encyclopedia
http://french.eb.com/,french.eb.com,encyclopaediauniversalis
http://atlas.nrcan.gc.ca/site/english/maps/environment/land/arm_physio_reg,atlas.nrcan.gc.ca,Map of Physical Regions -Atlas of Canada
http://www.thecanadianencyclopedia.com/index.cfm?PgNm=TCE&Params=A1ARTA0006275,thecanadianencyclopedia.com,The Physical Regions of Canada - The Canadian Encyclopedia
http://www.1920-30.com/,1920-30.com,The Roaring Twenties - A Historical Snapshot of Life in the 1920's by Robert Scott in Australia
http://www.mccord-museum.qc.ca/en/keys/games/18,mccord-museum.qc.ca,The Roaring Twenties - A Tutorial Game from Mus?e McCord Museum
http://www.english.emory.edu/DRAMA/HistDrama1.html,english.emory.edu,History of Drama - Emory University
http://www.tctwebstage.com/oftheatre.htm,tctwebstage.com,History of Theatre - Tupelo Community Theatre
http://www.cwu.edu/~robinsos/ppages/resources/Theatre_History/,cwu.edu,Theatre History - An overview of theatre history from Central Washington University with extensive links
http://www.civilisations.ca/cmc/exhibitions/hist/labour/labv25e.shtml,civilisations.ca,The Dark Years - The Great Depression - On-line Exhibition from the Canadian Museum of Civilization
http://www.mccord-museum.qc.ca/en/keys/webtours/GE_P4_1_EN,mccord-museum.qc.ca,The Dirty Thirties - A Virtual Exhibit from the McCord Museum
http://archaeology.about.com/od/ancientcivilizations/Ancient_Civilizations.htm,archaeology.about.com,Ancient Mesopotamia - About.com: Archaeology - Ancient Civiliations
http://www.mesopotamia.co.uk/,mesopotamia.co.uk,Ancient Mesopotamia - an on-line collection from the British Museum
http://witcombe.sbc.edu/ARTHmesopotamian.html,witcombe.sbc.edu,Art of the Ancient Near East - Art History Resources On-Line
http://www.fordham.edu/halsall/ancient/asbook.html,fordham.edu,Ancient History Sourcebook - Primary Sources from Fordham University
http://history-world.org/,history-world.org,"International World History Project - collection of history related essays, maps, historical documents, educational videos, speeches and music directed by Dr. Robert A. Guisepi"
http://anthropology.si.edu/,anthropology.si.edu,An Introduction to Anthropology - Educational Resources from the Smithsonian Institution
http://www.psychology.org/links/,psychology.org,Psychology Encyclopedia - links Collected by Jackson State University
http://www.trinity.edu/~mkearl/theory.html,trinity.edu,A Sociological Tour through Cyberspace - links Collected by Michael C. Kearl at Trinity University
http://www.aboriginalcanada.gc.ca/acp/site.nsf/eng/index.html,aboriginalcanada.gc.ca,"Aboriginal Canada Portal - Portal to First Nations, M?tis and Inuit online resources and government programs and services"
http://www.ucalgary.ca/applied_history/tutor/firstnations/home.html,ucalgary.ca,Canada's First Nations - A multimedia tutorial from the University of Calgary and Red Deer College
http://canada.gc.ca/canadiana/cdaind_e.html,canada.gc.ca,About Canada - Government of Canada Web Site
http://www.ottres.ca/hconline/chapters/3/3Fdailylife.html,ottres.ca,Daily Life in New France - History of Canada On-Line
http://www.etsb.qc.ca/en/teacher_resources/ICT_RECIT/resources/webquests/nf/Resources/dailylife.htm,etsb.qc.ca,Daily Life in New France - Eastern Townships School Board
http://www.goldiproductions.com/Pages/P2Boer/Boer1_intro1.html,goldiproductions.com,Canadian Anglo-Boer War Museum - Recommended by Beaver Magazine
http://www.pch.gc.ca/ceremonial-symb/english/emb.html,pch.gc.ca,Canadian Symbols - Canadian Heritage Web Site
http://www.canadiana.org/citm,canadiana.org,Canada in the Making - Canadian Institute for Historical Microreproductions
http://www.thememoryproject.com/,thememoryproject.com,The Memory Project - Canadian Oral History
http://www.archives.ca/,archives.ca,"The National Archives of Canada - ""Living Memory"" and other Resources"
http://www.thememoryproject.com/passages_index.cfm,thememoryproject.com,"The Memory Project - Personal Reflections by Canadians on Immigration, Heroism, War and Peace"
http://www.un.org/Pubs/CyberSchoolBus/index.shtml,un.org,"The United Nations Cyber-School Bus - Statistics, Maps, General Information and Links"
http://www.voyage.gc.ca/dest/ctry/reportpage-en.asp,voyage.gc.ca,Travel Reports - from The Department of Foreign Affairs and International Trade of Canada
http://www.cia.gov/cia/publications/factbook/,cia.gov,CIA World Factbook - General Information on Countries around the World
http://www.intercultures.ca/cil-cai/country_insights-en.asp?lvl=8,intercultures.ca,Country Insights - Information from the Canadian Department of Foreign Affairs and International Trade
http://www.lisgar.ca/ewp.html,lisgar.ca,"Energy, Work and Power - Links for Research on Alternate Energy Sources and Related Topics"
http://www.davidsuzuki.org/,davidsuzuki.org,David Suzuki Foundation - A Scientific Organization Dedicated to Environmental Research
http://www.ec.gc.ca/,ec.gc.ca,Environment Canada - Departmental Home Page with Links to Information on Current Initiatives
http://www.epa.gov/,epa.gov,Environmental Protection Agency - A U.S. Government Agency
http://www.ec.gc.ca/,ec.gc.ca,The Green Lane - Environment Canada
http://www.greenpeace.org/homepage/,greenpeace.org,Greenpeace International - A non-profit global organisation focusing on the the most crucial worldwide threats to our planet's biodiversity and environment.
http://www.statcan.gc.ca/pub/16-201-x/16-201-x2007000-eng.pdf,statcan.gc.ca,Human Activity and the Environment: Annual Statistics - Statistics Canada
http://www.statcan.gc.ca/pub/16-201-x/16-201-x2007000-fra.pdf,statcan.gc.ca,L'activit? humaine et l'environnement : statistiques annuelles - Statistique Canada
http://www.ansp.org/museum/kye/browse.php,ansp.org,Know Your Environment - Online Publication on Environmental Issues by the Environmental Associates of the Academy of Natural Sciences in Philadelphia
http://www.ene.gov.on.ca/,ene.gov.on.ca,Ministry of the Environment - A Department of the Ontario Provincial Government
http://www.ccme.ca/assets/pdf/cc_ind_full_doc_e.pdf,ccme.ca,"Climate, Nature, People: Indicators of Canada's Changing Climate - Canadian Council of Ministers of the Environment"
http://www.wildeducation.org/more_nww2002.asp,wildeducation.org,Climate Change and Wild Life - Canadian Wildlife Federation
http://www.climatechange.gc.ca/,climatechange.gc.ca,ecoACTION - Government of Canada Initiatives to Protect the Environment
http://news.bbc.co.uk/hi/english/static/in_depth/sci_tech/2000/climate_change/,news.bbc.co.uk,Global Climate Change - Media Connections from the British Broadcasting Corporation
http://www.earth.nasa.gov/science/index.html,earth.nasa.gov,Science of the Earth System - NASA's Earth Science Enterprise
http://science.nationalgeographic.com/science/environment/global-warming/,science.nationalgeographic.com,More About Global Warming - From National Geographic Science
http://www.epa.gov/docs/ozone/resource/public.html,epa.gov,Ozone Depletion Resource Center - Environmental Protection Agency of the United States
http://www.pmel.noaa.gov/tao/,pmel.noaa.gov,Research on El Nino and La Nina - Tropical Atmosphere Ocean Project
http://www.windows.ucar.edu/cgi-bin/search_form.cgi?&link=/search/search_navigation.html,windows.ucar.edu,Windows to the Universe - University Corporation for Atmospheric Research
http://ww2010.atmos.uiuc.edu/(Gh)/guides/mtr/home.rxml,ww2010.atmos.uiuc.edu,Meteorology Guide - University of Illinois
http://www.weather.com/encyclopedia/winter/blizzard.html,weather.com,Storm Encyclopedia - The Weather Channel
http://www.ncistudent.net/CourseResources/ChildrensServices/WebLinks.htm,ncistudent.net,"Course Resources for the Study of Child Services - Links Provided by the Learning Centre of the North Coast Institute, New South Wales, Australia"
http://www.parents.com/,parents.com,Parents - Popular Magazine Dealing with Issues Related to Parenting
http://www.vifamily.ca/,vifamily.ca,The Vanier Institute - Current Research on the Canadian Family
http://www.awionline.org/,awionline.org,Animal Welfare Institute
http://www.cws-scf.ec.gc.ca/,cws-scf.ec.gc.ca,Canadian Wildlife Service Endangered Species Web Site
http://www.cites.org/,cites.org,The Convention on International Trade in Endangered Species Environment Canada Species at Risk Web Site
http://www.eelink.net/EndSpp/endangeredspecies-mainpage.html,eelink.net,Endangered Species on EE Link
http://www.acnatsci.org/research/kye/,acnatsci.org,Know Your Environment -The Academy of Natural Sciences in Philadelphia
http://www.iucn.org/,iucn.org,International Union for the Conservation of Nature and Natural Resources
http://www.worldwildlife.org/endangered/,worldwildlife.org,World Wildlife Federation Endangered Species Information
http://gis.wwfus.org/wildfinder/,gis.wwfus.org,WildfinderWorld Wildlife Federation Map Locating Endangered Species
http://en.wikipedia.org/wiki/List_of_countries_by_system_of_government,en.wikipedia.org,List of Countries of the World by System of Government - A List from Wikipedia (warning - missing documentation)
http://www.un.org/esa/national.htm,un.org,National Governments - Information Provided by the United Nations
http://www.worldworld.com/,worldworld.com,WorldWorld Planet Earth - Portal to Governmental Information from around the World
https://www.cia.gov/library/publications/world-leaders-1/index.html,cia.gov,World Leaders - List from the Central Intelligence Agency of the United States
http://www.acdi-cida.gc.ca/,acdi-cida.gc.ca,Canadian International Development Agency - Supports foreign aid projects in more than 100 of the poorest countries of the world
http://www.coc.org/,coc.org,The Centre of Concern - Archived Articles on Social Justice Issues
http://www.cia.gov/cia/publications/factbook/,cia.gov,CIA World Factbook
http://www.idn.org/healthlinks.htm,idn.org,Health and Nutrition Links -International Development Network
http://www.probeinternational.org/pi/index.cfm?DSP=home,probeinternational.org,"Probe International -Exposes the devastating environmental, social, and economic effects of Canada's aid and trade abroad"
http://www.sustainabletimes.ca/home.htm,sustainabletimes.ca,The Sustainable Times Webzine -Sponsored by CUSO
http://www.un.org/esa/,un.org,Economic and Social Development Page - An Index Page for U.N. Development Agencies
http://www.fao.org/es/english/index_en.htm,fao.org,FAO - Home Page of the Food and Agriculture Organization of the United Nations
http://apps.fao.org/,apps.fao.org,FAOSTAT - Statistical Databases from the Food and Agriculture Organization of the United Nations
http://www.worldbank.org/,worldbank.org,The World Bank Group - A Capitalist Approach to Development
http://www.canadiangeographic.ca/worldmap/,canadiangeographic.ca,World Map from Canadian Geographic - Interactive World Map Focusing on Development
http://www.asil.org/resource/home.htm,asil.org,Resources for International Law - American Society for International Law
http://www.law-lib.utoronto.ca/intmat.htm,law-lib.utoronto.ca,International Materials - Bora Laskin Law Library at the University of Toronto
http://www.socialaw.com/irg/il.html,socialaw.com,International Law - Social Law Library of Dalhousie University
http://avalon.law.yale.edu/,avalon.law.yale.edu,"The Avalon Project - Yale Law School's Documents in Law, History and Diplomacy"
http://www.bl.uk/onlinegallery/index.html,bl.uk,The British Museum - On-Line Gallery
http://eudocs.lib.byu.edu/index.php/Main_Page,eudocs.lib.byu.edu,"EURODCOCS - Selected Transcriptions, Facsimiles and Translations (These links connect to European primary historical documents that are transcribed, reproduced in facsimile, or translated. They shed light on key historical happenings within the respective countries and within the broadest sense of political, economic, social and cultural history. The order of documents is chronological wherever possible.)"
http://search.theeuropeanlibrary.org/portal/en/index.html,search.theeuropeanlibrary.org,The European Library - A Portal to the National Libraries of Europe
http://history.hanover.edu/project.html,history.hanover.edu,Hanover Historical Texts Project - Document Links Collected by the Hanover College History Deparment
http://www.fordham.edu/halsall/mod/modsbook.html,fordham.edu,Internet Modern History Sourcebook - Document Links Collected by Fordham University
http://www.gutenberg.org/catalog/world/search,gutenberg.org,Project Gutenberg - Full Text On-line Editions of Important Philosophical and Historical Writings
http://www.cmp-cpm.forces.gc.ca/dhh-dhp/his/oh-ho/index-eng.asp,cmp-cpm.forces.gc.ca,Official Histories - National Defence and the Canadian Forces
http://web.archive.org/web/20071209231212/http://www.sassoonery.demon.co.uk/contents.htm,web.archive.org,Call to Duty - Canada's Nursing Sisters in World War I
http://www.gwpda.org/,gwpda.org,Great War Primary Document Archive - Extensive Links to International Sources
http://www.saintjohn.nbcc.nb.ca/~heritage/Black/GreatWars.htm,saintjohn.nbcc.nb.ca,The Great War - No. 2 Construction Battalion - Heritage Resources and New Brunswick Community College - Saint John
http://www.collectionscanada.gc.ca/education/sources/008001-110.01-e.php?q3=%22Oral+Histories+of+the+First+World+War%3A+Veterans+1914+1918%22&ts_nbr=27&brws=1&PHPSESSID=9o6ohnufeujaghhg7rbbj8n694,collectionscanada.gc.ca,Oral Histories of World War One - Library and Archives Canada
http://www.worldwar1.com/,worldwar1.com,World War I - Trenches on the Web - A History Channel Affiliate Site by Mike Iavarone
http://www.cmp-cpm.forces.gc.ca/dhh-dhp/his/oh-ho/index-eng.asp,cmp-cpm.forces.gc.ca,Official Histories - National Defence and the Canadian Forces
http://www.cmp-cpm.forces.gc.ca/dhh-dhp/his/oh-ho/index-fra.asp,cmp-cpm.forces.gc.ca,Histoires officielles - D?fense nationale et les Forces canadiennes
http://www.vac-acc.gc.ca/remembers/sub.cfm?source=history/secondwar,vac-acc.gc.ca,The Second World War - Information from Veterans Affairs Canada
http://archives.cbc.ca/war_conflict/second_world_war/topics/3799/,archives.cbc.ca,Propaganda and World War II - C.B.C. Archives
http://www.junobeach.org/main.html,junobeach.org,Juno Beach Centre - Canada's Contribution to D-Day
http://www.collectionscanada.gc.ca/lac-bac/result/arch.php?FormName=MIKAN+Simple+Search&SortSpec=score+desc&Language=eng&QueryParser=lac_mikan&Sources=mikan&Archives=&SearchIn_1=&SearchInText_1=World+War+II&Operator_1=AND&SearchIn_2=&SearchInText_2=&Operator_2=AND&SearchIn_3=&SearchInText_3=&Media=Media.Photographs&Level=&MaterialDateOperator=after&MaterialDate=&Source=&ResultCount=10&cainInd=8%2C9&Paging=true&MaxDocs=-1&DigitalImages=1&PageNum=1,collectionscanada.gc.ca,World War II Photographs - from Library and Archives Canada
http://www.collectionscanada.gc.ca/military/025002-7010-e.html,collectionscanada.gc.ca,Canadian Readers' Guide for the Second World War - from Library and Archives Canada
http://archives.cbc.ca/war_conflict/second_world_war/,archives.cbc.ca,Radio and Film Clips and other Primary and Secondary Resources - from the CBC Digital Archive
http://www.warmuseum.ca/cwm/exhibitions/newspapers/intro_e.shtml,warmuseum.ca,Democracy at War: Canadian Newspaper and the Second World War Canadian War Museum Exhibit
http://www.ccsa.ca/default.htm,ccsa.ca,"Canadian Centre on Sustance Abuse - A non-profit organization working to minimize the harmful impact of alcohol, tobacco and other drug"
http://www.hc-sc.gc.ca/english/lifestyles/alcohol_drug.html,hc-sc.gc.ca,Abuse - Health Canada
http://www.camh.net/,camh.net,Centre for Addiction and Mental Health
http://www.afaa.com/main/main.html,afaa.com,Aerobics and Fitness Association of America
http://www.physsportsmed.com/,physsportsmed.com,The Physician and Sports Medicine
http://www.participaction.com/en-us/Splash.aspx,participaction.com,Participaction - Canadian Fitness Awareness Campaign
http://nays.org/,nays.org,National Alliance for Youth Sports
http://www.rohan.sdsu.edu/dept/coachesci/into.html,rohan.sdsu.edu,Coaching Science Abstracts
http://www.pch.gc.ca/progs/sc/index_e.cfm,pch.gc.ca,Sport Canada - Canada's Official Sport Policy
http://www.ontario.cmha.ca/about_mental_health.asp,ontario.cmha.ca,About Mental Health
http://www.ontario.cmha.ca/about_mental_health.asp?cID=23089,ontario.cmha.ca,Your Mental Health
http://www.ontario.cmha.ca/about_mental_health.asp?cID=7593,ontario.cmha.ca,Mental Illnesses
http://www.ontario.cmha.ca/about_mental_health.asp?cID=23091,ontario.cmha.ca,Populations
http://www.ontario.cmha.ca/justice.asp,ontario.cmha.ca,Justice and Mental Health
http://www.ontario.cmha.ca/about_mental_health.asp?cID=7667,ontario.cmha.ca,Recovery
http://www.ontario.cmha.ca/about_mental_health.asp?cID=7599,ontario.cmha.ca,Stigma and Discrimination
http://www.ontario.cmha.ca/about_mental_health.asp?cID=7608,ontario.cmha.ca,Suicide
http://www.cmha.ca/bins/index.asp,cmha.ca,"Canadian Mental Health Association - Select ""Understanding Mental Illness"" from Pull Down Menus"
http://www.nmha.org/go/get-info/,nmha.org,"National Mental Health Association(United States) - Informtation indexed by ""audience"", ""issue"" and ""disorders and treatments"""
http://smarthistory.org/,smarthistory.org,smarthistory - a dynamic enhancement (or even substitute) for the static traditional Western art history textbook by Beth Harris and Steven Zucker
http://www.maskenmuseum.de/start_galerie.html,maskenmuseum.de,"Mask Galleries by Continent - Mask Museum of Germany, Diedorf"
http://www.britishmuseum.org/search_results.aspx?searchText=Masks,britishmuseum.org,"Search Results for ""Masks"" - The British Museum, London"
http://recherche.civilization.ca/search?q=masks&btnG=Search&entqr=0&sort=date_3AD_3AL_3Ad1&output=xml_no_dtd&client=cmc_eng_frontend&ud=1&oe=iso-8859-1&ie=iso-8859-1&proxystylesheet=cmc_eng_frontend&hl=fr&proxyreload=1&site=All&filter=0,recherche.civilization.ca,"Search Results for ""Masks"" - Museum of Civilization, Ottawa"
http://www.google.ca/search?q=masks&oi=navquery_searchbox&sa=X&as_sitesearch=si.edu&hl=en,google.ca,"Search Results for ""Masks"" - Smithsonian Institution, Washington, D.C."
http://thebrain.mcgill.ca/,thebrain.mcgill.ca,The Brain from Top to Bottom - McGill University
http://www.brain.ubc.ca/research.php,brain.ubc.ca,Brain Research Centre - University of British Columbia
http://www.psych.ualberta.ca/~ITL/brain/,psych.ualberta.ca,"Brain Study Module - Department of Psychology, the University of Alberta"
http://www.sfn.org/skins/main/pdf/brainfacts/2008/brain_facts.pdf,sfn.org,Brain Facts - Primer (74 pp.) on the Brain and Nervous System from the Society for Neuroscience
http://www.dana.org/resources/brainweb/default.aspx,dana.org,The Brain Web and Brain Information - The DANA Foundation
http://www.space.gc.ca/,space.gc.ca,Welcome -The Canadian Space Agency
http://search.looksmart.com/p/browse/us1/us317914/us77590/,search.looksmart.com,LookSmart Directory for Astronomy and Space Science - Directory of Relevant Information Sources
http://www.mdrobotics.ca/new.htm,mdrobotics.ca,MD Robotics - Manufacturers of the Canadarm
http://www.nasa.gov/,nasa.gov,NASA Home Page - Latest Developments and Links to a Variety of Information
http://www.nineplanets.org/,nineplanets.org,The Nine Planets - A Multi-Media Tour of the Solar System by Bill Arnett
http://liftoff.msfc.nasa.gov/rsa/rsa.html,liftoff.msfc.nasa.gov,"Russian Space Agency - History, Programs and Technical Data"
http://www.seti-inst.edu/,seti-inst.edu,SETI - Search for Extraterrestrial Intelligence
http://www.nrc-cnrc.gc.ca/eng/education/elements/index.html,nrc-cnrc.gc.ca,Periodic Table of the Elements from the National Research Council of Canada.
http://zoowiki.wikispaces.com/file/view/periodic-table-advanced.pdf,zoowiki.wikispaces.com,Advanced Periodic Table of the Elements from Peter A. Doucette.
http://ptable.com/,ptable.com,Dynamic Periodic Table
http://www.webelements.com/,webelements.com,Web Elements by Mark Winter at the University of Sheffield.
http://www.chem4kids.com/files/matter_intro.html,chem4kids.com,"Chem4kids.com - Simplified explanations of matter, elements, reactions and biochemistry"
http://www.nobel.se/chemistry/laureates/,nobel.se,Nobel Prize Winners in Chemistry from the Nobel e-Museum
http://www.chemguide.co.uk/index.html,chemguide.co.uk,Chemguide - Jim Clark's site originally intended for UK A-level chemistry students.
http://www.collectionscanada.gc.ca/innovations,collectionscanada.gc.ca,Made in Canada - The Story of Canadian Innovation from the Library and Archives Canada
http://www.collectionscanada.gc.ca/physicians,collectionscanada.gc.ca,Famous Canadian Physicians - from the Library and Archives Canada
http://www.sciencetech.technomuses.ca/english/about/hallfame/u_main_e.cfm,sciencetech.technomuses.ca,Canadian Science and Engineering Hall of Fame - from the Canadian Museum of Science and Technology
http://www.canadian-health-network.ca/,canadian-health-network.ca,Canadian Health Network - National Bilingual Web-based Health Information Service
http://www.chrcrm.org/,chrcrm.org,Future Health Perspectives Sant? - Canadians for Health Research
http://www.docguide.com/,docguide.com,Doctor's Guide - Internet Medical Updates and Search Engin
http://www.mayo.edu/healthinfo/resources.html,mayo.edu,Internet Health and Medical Resources - Mayo Clinic
http://www.med.unsw.edu.au/pathology/pathmus/frmain.htm,med.unsw.edu.au,Museum of Human Disease - University of New South Wales
http://pubs.nrc-cnrc.gc.ca/rp-ps/toptemDetail.jsp?tt=disease?=eng,pubs.nrc-cnrc.gc.ca,Articles Related to Disease Studies - National Research Council of Canada
http://bioportal.gc.ca/english/BioPortalHome.asp,bioportal.gc.ca,Bioportal - Industry Canada's Window on Biotechnology in Canada
http://www.gov.on.ca/OMAFRA/english/external_links/biolink.htm,gov.on.ca,Biotechnology Links -Ontario Ministry of Agriculture and Food
http://www.carleton.ca/biochem/companies.html,carleton.ca,Biotechnology Companies and Groups in Canada - A Listing from Carleton University
http://www.nature.ca/genome/index_e.cfm,nature.ca,The Gee in Genome - Canadian Museum of Nature
http://www.hc-sc.gc.ca/english/protection/biotech/index.htm,hc-sc.gc.ca,Health Canada's Biotechnology Resources - Regulatory Information
http://www.dnalc.org/resources/animations/index.html,dnalc.org,Biology Animation Library - Dolan DNA Learning Centre
http://www.newscientist.com/hottopics/cloning/,newscientist.com,Cloning -Recent News Articles from New Scientist.com
http://www.fbi.gov/hq/lab/handbook/examsdna.htm,fbi.gov,DNA Examinations -F.B.I. Handbook of Forensic Services
http://www.kumc.edu/gec/,kumc.edu,Genetics Education Centre -University of Kansas Medical Center
http://learn.genetics.utah.edu/,learn.genetics.utah.edu,Learn.genetics -Genetic Science Learning Centre of the University of Utah
http://www.geneticengineering.org/,geneticengineering.org,GEENOR -Genetic Engineering Organization
http://www.hc-sc.gc.ca/hl-vs/reprod/hc-sc/legislation/index_e.html,hc-sc.gc.ca,AHR Assisted Human Reproduction - Health Canada
http://www.ornl.gov/hgmis/,ornl.gov,Human Genome Project - Official Web Site
http://www.nlm.nih.gov/medlineplus/genesandgenetherapy.html,nlm.nih.gov,Genes and Gene Therapy - Medlineplus
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=OMIM,ncbi.nlm.nih.gov,OMIMIM (On-line Mendelian Inheritance in Man) - Database of human genes and genetic disorders
http://www.anth.org/ifgene/sources.htm,anth.org,International Forum for Genetic Engineering - Selected Sites for Information on Biotechnology and Bioethics
http://stemcells.nih.gov/index.asp,stemcells.nih.gov,Stem Cell Research - National Institute of Health (U.S.)
http://beq.ebooksgratuits.com/pdf/index.htm,beq.ebooksgratuits.com,Collection Litt?rature qu?b?coise - from La Biblioth?que ?lectronique du Qu?bec
http://www.fsj.ualberta.ca/biblio/E-Texts/Honor%C3%A9%20Beaugrand/LACHASSE.RTF,fsj.ualberta.ca,La Chasse Galerie by Honor? Beaugrand - from Biblio-Virtu?lle at the University of Alberta
http://us.franceguide.com/,us.franceguide.com,French National Tourist Office
http://www.france-pub.com/,france-pub.com,FWP - Internet Gateway to France
http://cyberschoolbus.un.org/infonation/index.asp?id=250,cyberschoolbus.un.org,Information on France from the United Nations CyberSchoolBus
http://francophonie.ahibo.com/,francophonie.ahibo.com,LES ?TATS & GOUVERNEMENTS MEMBRES DE LA FRANCOPHONIE
http://www.virtualmuseum.ca/Exhibitions/Francophonie/home.htm,virtualmuseum.ca,In the Countries of the Francophonie
http://www.francophonie.org/,francophonie.org,Organisation internationale de la Francophonie
http://www.acjnet.org/nahome/default.aspx,acjnet.org,Canadian Access to Justice Network
http://legalresearch.org/,legalresearch.org,Best Guide to Canadian Legal Resources - hosted by UBC
http://www.canlii.org/en/index.php,canlii.org,CANLII - Canadian Legal Information Institute
http://www.solon.org/Constitutions/Canada/English/,solon.org,Canadian Constitutional Documents (a legal history)
Jurist%20Canada.html,jurist20canada.html,Jurist Canada: the legal education network
http://www.parl.gc.ca/,parl.gc.ca,Canadian Parliamentary Site
http://www.justice.gc.ca/,justice.gc.ca,Canadian Department of Justice
http://www.e-laws.gov.on.ca/navigation?file=home&lang=en,e-laws.gov.on.ca,"E-Laws, statutes and regulations of Ontario"
http://www2.parl.gc.ca/sites/lop/legisinfo/,www2.parl.gc.ca,LEGISINFO - legislation currently before parliament
http://www.attorneygeneral.jus.gov.on.ca/,attorneygeneral.jus.gov.on.ca,Ontario Ministry of the Attorney General
http://www.scc-csc.gc.ca/,scc-csc.gc.ca,Supreme Court of Canada - Homepage
http://www.lexum.umontreal.ca/index_en.php,lexum.umontreal.ca,Lexum - includes Supreme Court of Canada decisions
http://duhaime.org/,duhaime.org,Duhaime.org- legal Information maintained by Duhaime law firm
http://www.jstor.org/,jstor.org,JSTOR Database (ask for database passwords at the library)
http://infotrac.galegroup.com/itweb/ko_k12hs_d47,infotrac.galegroup.com,Gale Religion and Philosophy and Virtual Reference Databases
http://www.sacred-texts.com/,sacred-texts.com,Internet Sacred Text Archive
http://www.bbc.co.uk/religion/religions/,bbc.co.uk,BBC Religions
http://hirr.hartsem.edu/ency/index.htm,hirr.hartsem.edu,Encyclopedia of Religion (Hartford Inst.of Religious Research)
http://www.adherents.com/,adherents.com,Adherents.com - Statistics & Religious Geography Citations
http://www.religioustolerance.org/,religioustolerance.org,ReligiousTolerance.org
http://www.colonelby.com/home.htm,colonelby.com,
http://www.colonelby.com/home.htm,colonelby.com,
http://www.colonelby.com/home.htm,colonelby.com,
